itemcode,Pos_id,bez,AG_id,agtyp,APlatz_id,bde,menge_je,menge_zeitje,qs_id,traplatz,trtimetype_id,tr2aplatz,teaplatz,timetype_id,ptimetype_id,udf1,udf2,udf3,udf4
59000186-001                  ,10,Release Raw Material. 投料,,operation,REL01,J,40,60,,,,,0.5,Labor,,,,,1000
59000186-001                  ,20,Setup for Preform HTT. 预制体热处理准备,,operation,HTT01_S,J,160,60,,,,,4.5,Labor,,SOI-1001,XA,,4010
59000186-001                  ,30,Preform HTT. 预制体热处理,,operation,HTT01_P,J,160,60,,,,,61,Machine,Labor,SOI-1001,XA,,4010
59000186-001                  ,40,Setup for 1st CVD. 第1次化学气相沉积准备,,operation,CVD01_S,J,40,60,,,,,7.5,Labor,,SOI-2001,XA,,4020
59000186-001                  ,50,1st CVD. 第1次化学气相沉积,,operation,CVD01_P,J,40,60,,,,,132,Machine,Labor,SOI-2001,XA,,4020
59000186-001                  ,60,Setup for Grind both end sides after 1st CVD. 第一次CVD后磨削两端面准备,,operation,DSG01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-7001,XA,,1030
59000186-001                  ,70,Grind both end sides after 1st CVD. 第一次CVD后磨削两端面,,operation,DSG01_P,J,1,60,,,,,0.042,Machine,Labor,SOI-7001,XA,,1030
59000186-001                  ,80,Setup for Mill the OD and ID after 1st CVD. 第一次CVD后铣削内外径准备,,operation,MIL01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-6001,XA,,1040
59000186-001                  ,90,Mill the OD and ID after 1st CVD. 第一次CVD后铣削内外径,,operation,MIL01_P,J,4,60,,,,,0.283,Machine,Labor,SOI-6001,XA,,1040
59000186-001                  ,100,Setup for 2nd CVD. 第2次化学气相沉积准备,,operation,CVD01_S,J,40,60,,,,,7.5,Labor,,SOI-2002,XA,,4050
59000186-001                  ,110,2nd CVD. 第2次化学气相沉积,,operation,CVD01_P,J,40,60,,,,,132,Machine,Labor,SOI-2002,XA,,4050
59000186-001                  ,120,Setup for Grind both end sides after 2nd CVD. 第二次CVD后磨削两端面准备,,operation,DSG01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-7002,XA,,1060
59000186-001                  ,130,Grind both end sides after 2nd CVD. 第二次CVD后磨削两端面,,operation,DSG01_P,J,1,60,,,,,0.042,Machine,Labor,SOI-7002,XA,,1060
59000186-001                  ,140,Setup for Mill the OD and ID after 2nd CVD. 第二次CVD后铣削内外径准备,,operation,MIL01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-6002,XA,,1070
59000186-001                  ,150,Mill the OD and ID after 2nd CVD. 第二次CVD后铣削内外径,,operation,MIL01_P,J,4,60,,,,,0.283,Machine,Labor,SOI-6002,XA,,1070
59000186-001                  ,160,Setup for 1st AO Paiting on un-friction surface. 第一次抗氧化涂层涂刷在非摩擦面准备,,operation,PNT01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-5001,XA,,4260
59000186-001                  ,170,1st AO Paiting on un-friction surface. 第一次抗氧化涂层涂刷在非摩擦面,,operation,PNT01_P,J,1,60,,,,,0.167,Machine,Labor,SOI-5001,XA,,4260
59000186-001                  ,180,Storage.,,operation,AOS01,J,1,60,,,,,0.02,Labor,,SOI-9015,XA,,4265
59000186-001                  ,190,Setup for 1st AO Char. 第一次抗氧化涂层烧结准备,,operation,AOC01_S,J,160,60,,,,,1.083,Labor,,SOI-5005,XA,,4270
59000186-001                  ,200,1st AO Char. 第一次抗氧化涂层烧结,,operation,AOC01_P,J,160,60,,,,,20,Machine,Labor,SOI-5005,XA,,4270
59000185-001                  ,10,Setup for Rivet. 铆接准备,,operation,RVT01_S,J,40,60,,0.083,Labor,0.083,,,,SOI-8001,XA,,1330
59000185-001                  ,20,Rivet. 铆接,,operation,RVT01_P,J,1,60,,,,,0.05,Machine,Labor,SOI-8001,XA,,1330
59000185-001                  ,30,Store. 入库,,operation,STE01,N,40,60,,,,,1,Labor,,SOI-9002,XA,,1340
