aplatz_id,bez,trgk,trvk,trtimetype_id,gkbed,vollkstbed,tetimetype_id,tngk,tnvk,tntimetype,kosten_vom,kstst_id,udf1,costextented,pcostaktiv
AOC01,AO Char 抗氧化涂层烧结,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999820,2,
AOS01,Store after AO Painting 抗氧化涂层后储存,,,Setup,0,20,Labor               ,,,,,50999821,50999820,1,
CAB01,Crabonization 碳化炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999821,2,
CLN01,Hand Cleaning 坯体手工清理,,,Setup,0,20,Labor               ,,,,,50999821,50999821,1,
COST,Cost adjustment 成本调整,,,,,,,,,,,,,,
CVD01,CVD for rotor 动盘CVD炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999810,2,
CVD02,CVD for non-rotor 非动盘CVD炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999810,2,
DSG01,Grinding machine 双面磨床,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999812,2,
HTT01,HTT 热处理炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999820,2,
HTT02,Post-carbonization HTT 炭化后热处理炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999820,2,
IMP01,Impregnation 浸渍炉,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999821,2,
MAK01,Engraving 坯体刻字标印,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999812,2,
MAK02,Ink marking 墨水标印,,,Setup,0,20,Labor               ,,,,,50999821,50999812,2,
MCT01,Get coupon from carbon disc 炭盘取样,,,Setup,0,0,Labor               ,,,,,50999821,50999812,1,
MIL01,Milling machine 铣削机床,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999812,2,
PNT01,AO painting 抗氧化涂层涂刷,,,Setup,0,20,Labor               ,,,,,50999821,50999812,1,
REL01,Release raw material 投料,,,Setup,0,0,Labor               ,,,,,,,1,
RVT01,Rivet 铆接,,,Setup,0,20,Labor               ,0,40,Machine             ,,50999821,50999812,2,
STE01,Store 入库,,,Setup,0,0,Labor               ,,,,,,,,
