itemcode,Pos_id,bez,AG_id,agtyp,APlatz_id,bde,menge_je,menge_zeitje,qs_id,traplatz,trtimetype_id,tr2aplatz,teaplatz,timetype_id,tnaplatz,tntimetype_id,ptimetype_id,udf1,udf2,udf3,udf4
59000186-001,10,Release Raw Material 投料,,operation,REL01,N,40,60,,0.0167,Setup,0.0167,0.5,Machine,,,,N/A,,,1000
59000186-001,20,Preform HTT 预制体热处理,,operation,HTT01,J,160,60,,0.5,Setup,0.5,61,Machine,4,Labor,,SOI-1001,XA,,4010
59000186-001,30,1st CVD 第1次化学气相沉积,,operation,CVD01,J,40,60,,0.5,Setup,0.5,132,Machine,7,Labor,,SOI-2001,XA,,4020
59000186-001,40,Grind both end sides after 1st CVD 第一次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7001,XA,,1030
59000186-001,50,Mill the OD and ID after 1st CVD 第一次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6001,XA,,1040
59000186-001,60,2nd CVD 第2次化学气相沉积,,operation,CVD01,J,40,60,,0.5,Setup,0.5,136,Machine,7,Labor,,SOI-2002,XA,,4050
59000186-001,70,Grind both end sides after 2nd CVD 第二次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7002,XA,,1060
59000186-001,80,Mill the OD and ID after 2nd CVD 第二次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6002,XA,,1070
59000186-001,90,3rd CVD 第3次化学气相沉积,,operation,CVD01,J,40,60,,0.5,Setup,0.5,138,Machine,7,Labor,,SOI-2003,XA,,4080
59000186-001,100,Grind both end sides after 3rd CVD 第三次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7003,XA,,1090
59000186-001,110,Mill the OD and ID after 3rd CVD 第三次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6003,XA,,1100
59000186-001,120,4th CVD 第4次化学气相沉积,,operation,CVD01,J,40,60,,0.5,Setup,0.5,119,Machine,7,Labor,,SOI-2004,XA,,4110
59000186-001,130,Post CVD HTT CVD后热处理,,operation,HTT01,J,160,60,,0.5,Setup,0.5,63,Machine,4,Labor,,SOI-1002,XA,,4120
59000186-001,140,Grind both end sides after 4th CVD 第四次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7004,XA,,1130
59000186-001,150,Mill the OD and ID after 4th CVD 第四次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6004,XA,,1140
59000186-001,160,1st Impregnation 第一次浸渍,,operation,IMP01,J,40,60,,1,Setup,1,27,Machine,4,Labor,,SOI-3001,XA,,4150
59000186-001,170,1st Crabonization 第一次炭化,,operation,CAB01,J,160,60,,0.5,Setup,0.5,110,Machine,7,Labor,,SOI-4001,XA,,4160
59000186-001,180,Post-carbonization HTT 炭化后热处理,,operation,HTT02,J,160,60,,0.5,Setup,0.5,65,Machine,4,Labor,,SOI-1003,XA,,4170
59000186-001,190,2nd Impregnation 第二次浸渍,,operation,IMP01,J,40,60,,1,Setup,1,27,Machine,4,Labor,,SOI-3001,XA,,4180
59000186-001,200,2nd Crabonization 第二次炭化,,operation,CAB01,J,160,60,,0.5,Setup,0.5,110,Machine,7,Labor,,SOI-4002,XA,,4190
59000186-001,210,Final HTT 坯体最终热处理,,operation,HTT02,J,160,60,,0.5,Setup,0.5,67,Machine,4,Labor,,SOI-1004,XA,,4200
59000186-001,220,Get coupon from carbon disc 炭盘取样,,operation,MCT01,J,40,60,,,,,,Machine,,,,SOI-9005,XA,,2210
59000186-001,230,Final Grind both end sides 坯体两端面最终磨削,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7005,XA,,1220
59000186-001,240,Final Milling 坯体最终铣削,,operation,MIL01,J,1,60,,0.0833,Setup,0.0833,0.347,Machine,,,,SOI-6005,XA,,1230
